Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6,Type of Vehicle 7,Casualty Class 7,Casualty Severity 7,Sex of Casualty 7,Age of Casualty 7
67L1161,401322,426020,2,43667,1559,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67N1567,412457,425479,2,43669,1750,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,15,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67O0371,404368,419514,2,43670,737,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,18,Car,Driver or rider,Slight,Female,23,,,,,,,,,,,,,,,,,,,,,,,,,
67O0629,390462,425810,1,43670,1107,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67P2019,406619,419805,2,43671,1945,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67R1074,411466,419504,1,43673,1420,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Female,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67R1805,402579,416007,2,43673,2055,Motorway,Wet / Damp,Darkness: no street lighting,Raining without high winds,Car,Driver or rider,Slight,Male,50,Car,Driver or rider,Slight,Female,45,,,,,,,,,,,,,,,,,,,,,,,,,
67R1929,409459,423490,1,43673,2210,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,19,,Vehicle or pillion passenger,Slight,Male,36,,,,,,,,,,,,,,,,,,,,,,,,,
67U2259,404289,416714,2,43676,2324,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67V1283,413905,421654,2,43677,1707,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,49,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67V1613,409561,423621,1,43677,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6810434,413577,423199,1,43678,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6811225,411195,420637,4,43678,1607,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,28,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,
6821005,405547,419979,2,43679,1455,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,55,Goods vehicle 7.5 tonnes mgw and over,Vehicle or pillion passenger,Slight,Female,67,,Driver or rider,Slight,Male,53,,,,,,,,,,,,,,,,,,,,
6821437,409822,425672,1,43679,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6830654,416853,424057,2,43680,940,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,42,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6841243,416262,422206,2,43681,1530,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,53,Car,Vehicle or pillion passenger,Slight,Female,57,,,,,,,,,,,,,,,,,,,,,,,,,
6842175,411759,421260,3,43681,2223,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver or rider,Fatal,Male,43,Pedal cycle,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
6850683,409210,425076,3,43682,1133,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,52,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
6891410,403757,425093,1,43685,1436,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight,Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6891840,411660,427999,2,43686,1949,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,59,Car,Vehicle or pillion passenger,Slight,Female,73,,,,,,,,,,,,,,,,,,,,,,,,,
68A0046,408176,428159,3,43687,20,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,54,Car,Vehicle or pillion passenger,Slight,Female,52,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
68E0673,409045,426232,2,43691,1250,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,76,Agricultural vehicle (includes diggers etc.),Vehicle or pillion passenger,Slight,Male,79,,,,,,,,,,,,,,,,,,,,,,,,,
68E0728,409973,425659,2,43691,1323,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Male,62,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68F1413,407102,427478,2,43692,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,4,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68F1591,412777,425575,4,43692,1949,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,36,Car,Vehicle or pillion passenger,Slight,Male,12,Car,Vehicle or pillion passenger,Slight,Female,2,Car,Vehicle or pillion passenger,Slight,Female,5,,,,,,,,,,,,,,,
68J1025,393457,421311,1,43696,1440,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68J1571,411140,420685,2,43696,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,12,Taxi/Private hire car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68K1155,409449,424967,2,43697,1546,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,20,Minibus (8 – 16 passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68N1921,402457,420730,1,43700,2027,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,55,,Vehicle or pillion passenger,Slight,Female,41,,,,,,,,,,,,,,,,,,,,,,,,,
68N2246,407913,424913,2,43700,2246,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,25,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68O1081,411112,425997,2,43701,1422,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,61,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68O2257,414361,423381,2,43701,2214,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,21,Car,Vehicle or pillion passenger,Slight,Male,23,,,,,,,,,,,,,,,,,,,,,,,,,
68P1528,402351,417927,2,43702,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,19,Motorcycle over 500cc,Vehicle or pillion passenger,Slight,Female,19,,,,,,,,,,,,,,,,,,,,,,,,,
68Q0462,409741,422699,1,43703,535,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,23,,Vehicle or pillion passenger,Slight,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,
68Q1229,412132,425424,1,43703,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious,Male,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68Q2016,407913,424913,2,43703,2201,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,34,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68U0499,408750,422564,2,43707,938,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,73,Agricultural vehicle (includes diggers etc.),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68U0600,410421,426015,2,43707,1036,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,9,Car,Vehicle or pillion passenger,Slight,Female,11,,,,,,,,,,,,,,,,,,,,,,,,,
68V0469,405547,419979,2,43707,1300,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Serious,Male,35,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68V0878,409402,424771,2,43708,1309,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,63,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
68V0913,411014,428762,3,43708,1327,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,26,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,33,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
6920662,412462,425469,2,43710,1230,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,75,Car,Vehicle or pillion passenger,Slight,Female,72,,,,,,,,,,,,,,,,,,,,,,,,,
6931678,409788,425724,2,43711,2038,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,2,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6981343,406794,426164,2,43716,1803,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,35,Car,Vehicle or pillion passenger,Serious,Female,47,,Driver or rider,Slight,Female,33,,,,,,,,,,,,,,,,,,,,
69F1940,409748,422724,1,43723,2215,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69H0887,416902,422057,4,43725,1342,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Vehicle or pillion passenger,Slight,Male,36,Car,Vehicle or pillion passenger,Slight,Male,32,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
69I0676,411876,427814,3,43726,640,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,23,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
69I1019,409318,424727,2,43726,1449,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,55,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
69J0470,410814,420982,1,43727,1019,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69J0763,417704,420756,2,43727,1239,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,22,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
69N0385,412806,420298,4,43731,910,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,31,Car,Driver or rider,Slight,Female,37,Car,Driver or rider,Slight,Female,30,Car,Driver or rider,Slight,Female,40,,,,,,,,,,,,,,,
69O1264,407548,425938,2,43714,1600,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,50,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
69O1269,409596,424848,1,43732,1700,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight,Male,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69P0886,414204,422571,1,43733,1310,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Serious,Male,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69U1356,415318,422960,2,43738,1645,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedal cycle,Driver or rider,Slight,Male,14,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
69U1582,411449,419616,1,43738,1805,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6A20200,414766,423030,2,43740,711,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,57,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
