Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6,Type of Vehicle 7,Casualty Class 7,Casualty Severity 7,Sex of Casualty 7,Age of Casualty 7
6BT2243,393226,423387,1,43798,2243,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6BU0667,409451,423526,2,43799,1111,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,61,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6BU1580,404352,421339,2,43799,1940,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,36,Car,Driver or rider,Slight,Male,63,,,,,,,,,,,,,,,,,,,,,,,,,
6C10914,406737,425561,1,43800,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C41606,412047,425188,1,43803,1800,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Pedestrian,Slight,Female,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C51902,414860,425161,2,43804,2200,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,21,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6C60890,409439,425052,1,43805,1351,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C62096,409798,423183,2,43805,2312,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,24,Car,Driver or rider,Slight,Male,20,,Driver or rider,Slight,Female,61,,,,,,,,,,,,,,,,,,,,
6C70250,409146,425207,1,43806,220,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C70890,409231,425278,1,43806,1329,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Female,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C80680,411414,426787,6,43807,1030,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,22,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,
6C91159,404351,421336,2,43808,1630,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Female,83,Taxi/Private hire car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6CA1524,408156,427314,2,43810,1812,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Vehicle or pillion passenger,Slight,Male,16,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
